epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.01655,1.74082,2.71169,2.01988,0.00667,1,0.15314,0.03636,1.45727,2.67974,2.02946,2e-05,2e-05,2e-05
2,1.2502,1.57963,2.70007,1.84951,0.00667,1,0.13392,0.03188,1.468,2.67612,2.05176,5.8812e-05,5.8812e-05,5.8812e-05
3,1.50383,1.71274,2.69376,1.99808,0.00667,1,0.18206,0.06729,1.21014,2.73147,1.8889,9.604e-05,9.604e-05,9.604e-05
4,1.80337,1.41021,2.56274,1.74515,0.00667,1,0.30698,0.16434,1.06619,2.68953,1.63495,0.000131684,0.000131684,0.000131684
5,2.0978,1.32407,2.46354,1.62005,0.00667,1,0.84276,0.47396,1.10696,2.48876,1.44593,0.000165744,0.000165744,0.000165744
6,2.39355,1.22421,2.13617,1.45918,0.00667,1,0.98794,0.65905,0.97892,2.39459,1.33005,0.00019822,0.00019822,0.00019822
7,2.68913,1.17393,1.74777,1.40583,0.00667,1,0.995,0.72508,0.86935,2.25028,1.25372,0.000229112,0.000229112,0.000229112
8,2.98159,1.16407,1.48468,1.4209,1,0.50978,0.995,0.71452,0.88714,2.04628,1.24047,0.00025842,0.00025842,0.00025842
9,3.25084,1.14389,1.37477,1.42415,1,0.3531,0.97056,0.68939,0.92041,2.02117,1.25762,0.000286144,0.000286144,0.000286144
10,3.53204,1.08736,1.31341,1.39798,1,0.44782,0.95,0.66533,1.02626,2.02975,1.31414,0.000312284,0.000312284,0.000312284
11,3.81656,1.05256,1.1733,1.3345,1,0.45617,0.93052,0.64834,1.13828,2.12836,1.38714,0.00033684,0.00033684,0.00033684
12,4.07853,1.11606,1.20871,1.36164,1,0.32871,0.89953,0.5775,1.33238,2.24001,1.51292,0.000359812,0.000359812,0.000359812
13,4.36024,1.06498,1.13891,1.34453,1,0.25705,0.89985,0.56168,1.38183,2.31278,1.55584,0.0003812,0.0003812,0.0003812
14,4.6408,0.99846,1.1663,1.30141,1,0.24439,0.91959,0.58498,1.30476,2.27954,1.49892,0.000401004,0.000401004,0.000401004
15,4.93339,1.02966,1.10013,1.29972,1,0.29064,0.91959,0.63284,1.17639,2.15093,1.41251,0.000419224,0.000419224,0.000419224
16,5.20424,1.00884,1.06816,1.28445,1,0.67224,0.94052,0.68388,1.10923,1.84809,1.36405,0.00043586,0.00043586,0.00043586
17,5.4908,0.91629,1.00401,1.21779,1,0.93557,0.98071,0.71298,1.04178,1.40727,1.35123,0.000450912,0.000450912,0.000450912
18,5.76667,1.01182,1.14111,1.28762,1,0.93172,0.983,0.72823,0.96218,1.09139,1.31486,0.00046438,0.00046438,0.00046438
19,6.06548,1.03668,1.06592,1.35406,0.99659,0.9375,0.98553,0.7333,1.00406,0.96095,1.33547,0.000476264,0.000476264,0.000476264
20,6.34914,0.98025,1.00708,1.25394,0.99005,0.9375,0.98553,0.71898,1.05404,0.90463,1.38691,0.000486564,0.000486564,0.000486564
21,6.62912,0.91298,0.99114,1.27794,0.992,0.9375,0.98833,0.69665,1.09185,0.91,1.4848,0.00049528,0.00049528,0.00049528
22,6.92284,0.92845,0.92301,1.23549,1,0.9969,0.995,0.63378,1.17995,0.89547,1.67055,0.000502412,0.000502412,0.000502412
23,7.19441,0.93064,0.90239,1.22931,1,0.99712,0.995,0.65033,1.15979,0.93478,1.69812,0.00050796,0.00050796,0.00050796
24,7.46899,0.98394,0.90297,1.26773,1,0.9975,0.995,0.68273,1.08442,0.88561,1.59169,0.000511924,0.000511924,0.000511924
25,7.75144,1.0626,1.00663,1.32387,1,0.99674,0.995,0.69328,1.03858,0.88762,1.49315,0.000514304,0.000514304,0.000514304
26,8.03214,1.01482,0.97237,1.2601,1,0.99646,0.995,0.70812,0.95807,0.87299,1.38141,0.0005151,0.0005151,0.0005151
27,8.31271,0.9719,0.92062,1.27081,0.99913,1,0.995,0.74449,0.93549,0.83332,1.32515,0.000514312,0.000514312,0.000514312
28,8.57893,0.98647,0.91616,1.28094,0.99913,1,0.995,0.74449,0.93549,0.83332,1.32515,0.00051194,0.00051194,0.00051194
29,8.87982,0.9934,0.92663,1.28514,1,0.99685,0.995,0.76305,0.94437,0.81386,1.26269,0.000507984,0.000507984,0.000507984
30,9.15797,0.99203,0.93,1.23154,1,0.98879,0.995,0.7412,0.97088,0.85085,1.23498,0.000502444,0.000502444,0.000502444
31,9.43934,0.97097,0.90273,1.24028,1,0.98879,0.995,0.7412,0.97088,0.85085,1.23498,0.00049532,0.00049532,0.00049532
32,9.70442,0.96769,0.95177,1.24121,0.84185,0.99816,0.96355,0.7243,0.95031,0.9383,1.21868,0.000486612,0.000486612,0.000486612
33,9.98539,0.95121,0.86417,1.21962,1,0.80693,0.95924,0.7274,0.89988,0.96439,1.20594,0.00047632,0.00047632,0.00047632
34,10.2519,1.0189,0.95218,1.27712,1,0.80693,0.95924,0.7274,0.89988,0.96439,1.20594,0.000464444,0.000464444,0.000464444
35,10.5336,0.96962,0.8644,1.24931,0.99678,0.9375,0.97674,0.75637,0.85965,0.98184,1.20695,0.000450984,0.000450984,0.000450984
36,10.814,0.91261,0.89008,1.24159,0.9291,0.9375,0.97674,0.73848,0.8894,1.00602,1.24492,0.00043594,0.00043594,0.00043594
37,11.0785,0.94468,0.8663,1.24366,0.9291,0.9375,0.97674,0.73848,0.8894,1.00602,1.24492,0.000419312,0.000419312,0.000419312
38,11.3664,0.77588,0.79808,1.20185,0.86453,0.9375,0.97113,0.73174,0.91347,1.06874,1.25996,0.0004011,0.0004011,0.0004011
39,11.6415,0.93305,0.86327,1.21045,0.88756,0.9873,0.98167,0.72612,0.9294,1.0461,1.25793,0.000381304,0.000381304,0.000381304
40,11.9227,0.90788,0.88402,1.21982,0.88756,0.9873,0.98167,0.72612,0.9294,1.0461,1.25793,0.000359924,0.000359924,0.000359924
41,13.9081,0.89634,1.03171,1.32957,0.9245,0.875,0.97605,0.68284,0.96005,1.02475,1.2605,0.00033696,0.00033696,0.00033696
42,14.2206,0.76441,0.9463,1.18568,0.93679,0.92687,0.98178,0.69688,0.97866,0.95829,1.27151,0.000312412,0.000312412,0.000312412
43,14.5011,0.76266,0.86168,1.24725,0.93679,0.92687,0.98178,0.69688,0.97866,0.95829,1.27151,0.00028628,0.00028628,0.00028628
44,14.8453,0.75612,0.87632,1.18434,1,0.93338,0.98833,0.70223,1.02057,0.86426,1.28976,0.000258564,0.000258564,0.000258564
45,15.1325,0.79567,0.83668,1.16963,1,0.93338,0.98833,0.70223,1.02057,0.86426,1.28976,0.000229264,0.000229264,0.000229264
46,15.434,0.76055,0.82203,1.23002,1,0.99378,0.995,0.71957,1.03148,0.80829,1.2955,0.00019838,0.00019838,0.00019838
47,15.7039,0.74805,0.85927,1.2429,1,0.99378,0.995,0.71957,1.03148,0.80829,1.2955,0.000165912,0.000165912,0.000165912
48,16.018,0.74815,0.82929,1.22714,1,0.99723,0.995,0.71214,1.03142,0.75841,1.31085,0.00013186,0.00013186,0.00013186
49,16.3343,0.71782,0.81111,1.20355,1,0.99723,0.995,0.71214,1.03142,0.75841,1.31085,9.6224e-05,9.6224e-05,9.6224e-05
50,16.6372,0.75591,0.75865,1.18127,1,0.99955,0.995,0.71153,1.02963,0.7262,1.32253,5.9004e-05,5.9004e-05,5.9004e-05
